23011081, ismail, Orhan, 100
18011001, Geoffrey, Hinton, 100
18011005, Yoshua, Bengio, 100
18011010, Robert, Tibshirani, 90
18011015, Kaiming, He, 100
18011020, Ilya, Sutskever, 100
17011001, Andrew, Zisserman, -10
17011010, Ross, Girshick, 100
17011015, Trevor, Hastie, 100
17011020, Yann, LeCun, 100
12055510, Mahmut, Tuncer, 100
10202512, Abdullah, Yilmaz, 100
20012017, Murat, Göðebakan, 88
22014099, Yýldýz, Tilbe, 70
15013134, Neþet, Ertaþ, 60
25012034, Ýbrahim, Tatlýses, 50
23011084, Müslüm, Gürses, 100
22516120, Ferdi, Tayfur, 90
